actor,repo,type,repo_url,repo_created_at,actor,created_at,repo,repo_created_at,repo_url,timestamp,type
sofiatti,sncosmo,PullRequestEvent,https://github.com/sncosmo/sncosmo,2012-11-29 22:22:17,1,1,1,1,1,1,1
dhuppenkothen,BayesPSD,CreateEvent,https://github.com/dhuppenkothen/BayesPSD,2014-09-15 16:28:37,1,1,1,1,1,1,1
sofiatti,sncosmo,ForkEvent,https://github.com/sncosmo/sncosmo,2012-11-29 22:22:17,1,1,1,1,1,1,1
jradavenport,gj1245,PushEvent,https://github.com/jlurie/gj1245,2014-04-25 19:02:49,1,1,1,1,1,1,1
sofiatti,colormag_sncosmo,PushEvent,https://github.com/sofiatti/colormag_sncosmo,2014-09-19 22:35:41,1,1,1,1,1,1,1
dhuppenkothen,ClassicalStatsPython,MemberEvent,https://github.com/dhuppenkothen/ClassicalStatsPython,2014-09-18 21:50:12,1,1,1,1,1,1,1
kapadia,caffe,WatchEvent,https://github.com/BVLC/caffe,2013-09-12 18:39:48,1,1,1,1,1,1,1
sofiatti,SNClassification,PullRequestEvent,https://github.com/sofiatti/SNClassification,2014-09-18 23:16:16,1,1,1,1,1,1,1
sofiatti,SNClassification,CreateEvent,https://github.com/sofiatti/SNClassification,2014-09-18 23:16:16,1,1,1,1,1,1,1
drphilmarshall,AstroData,ForkEvent,https://github.com/uwescience/AstroData,2014-01-22 21:46:14,1,1,1,1,1,1,1
rbiswas4,interactivesncosmo,CreateEvent,https://github.com/rbiswas4/interactivesncosmo,2014-09-17 21:14:06,1,1,1,1,1,1,1
adrn,stream-morphology,PushEvent,https://github.com/adrn/stream-morphology,2014-09-12 13:33:11,1,1,1,1,1,1,1
yalsayyad,AstroData,GollumEvent,https://github.com/uwescience/AstroData,2014-01-22 21:46:14,1,1,1,1,1,1,1
adrn,macro-cell,CreateEvent,https://github.com/adrn/macro-cell,2014-09-18 21:44:34,1,1,1,1,1,1,1
Waelthus,astroMLfigs,ForkEvent,https://github.com/gully/astroMLfigs,2014-06-27 16:58:08,1,1,1,1,1,1,1
RuthAngus,BlackHoleGP,MemberEvent,https://github.com/RuthAngus/BlackHoleGP,2014-09-16 00:51:28,1,1,1,1,1,1,1
RuthAngus,KeplerGP,PushEvent,https://github.com/RuthAngus/KeplerGP,2013-08-21 17:14:37,1,1,1,1,1,1,1
RuthAngus,nestle,ForkEvent,https://github.com/kbarbary/nestle,2013-07-18 19:28:48,1,1,1,1,1,1,1
RuthAngus,nestle,PullRequestEvent,https://github.com/kbarbary/nestle,2013-07-18 19:28:48,1,1,1,1,1,1,1
RuthAngus,nestle,PushEvent,https://github.com/RuthAngus/nestle,2014-09-18 22:53:11,1,1,1,1,1,1,1
RuthAngus,noisy-plane,PushEvent,https://github.com/dfm/noisy-plane,2013-12-18 17:35:34,1,1,1,1,1,1,1
Waelthus,RTFig,CreateEvent,https://github.com/Waelthus/RTFig,2014-09-18 21:26:34,1,1,1,1,1,1,1
